_id,titulo,anio_salida,autor,id_imagen_portada,genero,numero_pista
ddbca_001,Sin Medir Distancias,1986,Diomedes Díaz,diomedes_diaz_brindo_con_el_alma.jpg,Vallenato,1
ddbca_002,Ayudame A Quererte,1986,Diomedes Díaz,diomedes_diaz_brindo_con_el_alma.jpg,Vallenato,2
ddbca_003,Brindo Con El Alma,1986,Diomedes Díaz,diomedes_diaz_brindo_con_el_alma.jpg,Vallenato,3
