_id,titulo,anio_salida,autor,id_imagen_portada,genero,numero_pista
lgasib_001,Black Eyes,2018,Lady Gaga,lady_gaga_a_star_is_born.jpg,Pop/Drama,1
lgasib_002,Somewhere Over The Rainbow - Dialogue,2018,Lady Gaga,lady_gaga_a_star_is_born.jpg,Pop/Drama,2
lgasib_003,La Vie En Rose,2018,Lady Gaga,lady_gaga_a_star_is_born.jpg,Pop/Drama,3
