_id,titulo,anio_salida,autor,id_imagen_portada,genero,numero_pista
qanato_001,Love Of My Life,1975,Queen,queen_a_night_at_the_opera.jpg,Rock,1
qanato_002,Bohemian Rhapsody,1975,Queen,queen_a_night_at_the_opera.jpg,Rock,2
qanato_003,Death On Two Legs (Dedicated To...),1975,Queen,queen_a_night_at_the_opera.jpg,Rock,3
