_id,titulo,anio_salida,autor,id_imagen_portada,genero,numero_pista
iqd_001,Yo Quiero Bailar,2003,Ivy Queen,ivy_queen_diva.jpg,Reggaeton,1
iqd_002,Tuya Soy,2003,Ivy Queen,ivy_queen_diva.jpg,Reggaeton,2
iqd_003,Venganza,2003,Ivy Queen,ivy_queen_diva.jpg,Reggaeton,3
